tipo,pregunta,respuesta,fuente
respuesta_directa,¿Dónde está la biblioteca?,"La biblioteca está situada en el Campus Sur, en el mismo pasillo que el Salón de Actos (el intercomunicador del Bloque VII).",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Y cuales son sus horarios?,La biblioteca tiene un horario estándar durante el curso de lunes a viernes de 9 a 21 horas y está cerrada los sábados y domingos. También tiene un horario extraordinario en días específicos de 10 a 14 y de 16 a 20 horas. Es imprescindible llevar el carnet UPM para acceder. La biblioteca permanecerá cerrada en festivos.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuáles son los horarios de atención de secretaría?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Dónde se hace la matrícula?,La matrícula se realiza a través de la página web de automatrícula.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Se puede aparcar en el campus?,No tengo información suficiente en los documentos proporcionados.,-
ambigua,¿Dónde?,"Por favor, especifica mejor tu pregunta.",-
ambigua,¿Es obligatorio?,"Por favor, especifica mejor tu pregunta.",-
ambigua,¿Qué debo llevar?,"Por favor, especifica mejor tu pregunta.",-
fuera_de_contexto,¿Quién ganó el Mundial en 2018?,No tengo información suficiente en los documentos proporcionados.,-
fuera_de_contexto,¿Cuántos habitantes tiene Australia?,No tengo información suficiente en los documentos proporcionados.,-
memoria,¿Cómo se solicita una beca?,"Para solicitar una beca de carácter general del Ministerio de Educación y Formación Profesional, se debe enviar una solicitud por correo electrónico a las Secretarías de los Centros correspondientes entre el 10 de febrero y el 10 de marzo de 2025. La solicitud debe incluir la siguiente documentación:

1. Certificación académica oficial de los estudios realizados, con las calificaciones obtenidas y la nota media aprobatoria.
2. Programa de las asignaturas aprobadas, sellado y diligenciado por el centro donde se impartieron, detallando los cursos académicos vigentes.
3. Pasaporte, DNI/NIE, o una certificación de los Servicios Consulares para estudiantes extranjeros.
4. Resguardo de haber solicitado plaza.

Una vez enviada la solicitud y la documentación, el centro enviará una carta de pago que debe ser abonada, y el resguardo del abono debe ser remitido al centro a la mayor brevedad.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\2022_23_Precios Publicos_MU.pdf
memoria,¿Y los plazos?,"Las solicitudes se enviarán por correo electrónico a las Secretarías de los Centros correspondientes entre el 10 de febrero y el 10 de marzo de 2025. Además, hay otro plazo mencionado para enviar solicitudes entre el 10 y el 30 de septiembre de 2024.",C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24031.pdf
memoria,¿Y es obligatoria?,No tengo información suficiente en los documentos proporcionados.,-
