tipo,pregunta,respuesta
respuesta_directa,¿Cuáles son los horarios de atención de secretaría?,Lunes a Viernes: de 9 a 14.
respuesta_directa,¿Dónde se encuentra la biblioteca universitaria?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Cuándo son los exámenes finales?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿A qué hora abre el comedor universitario?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Cuáles son las asignaturas del segundo cuatrimestre?,No tengo información suficiente en los documentos proporcionados.
ambigua,¿Qué pasa al final?,"Al final, se pierde todo derecho a seguir cursando los estudios iniciados, presentarse a exámenes o evaluaciones, realizar prácticas y obtener calificaciones."
ambigua,¿Dónde se hace?,La matrícula se realiza a través de la página web de automatrícula.
ambigua,¿Cuál es el procedimiento?,"El procedimiento consiste en enviar un parte EVALÚA a través del formulario en evalua.daupm.es/evalua, donde se pueden expresar reclamaciones o felicitaciones de forma confidencial. La Delegación de Alumnos se encarga del resto y se puede consultar el estado de tramitación en la web o contactando con ellos."
ambigua,¿Qué significa eso?,No tengo información suficiente en los documentos proporcionados.
ambigua,¿Es obligatorio?,"Sí, es obligatorio."
fuera_de_contexto,¿Quién ganó Eurovisión en 2023?,No tengo información suficiente en los documentos proporcionados.
fuera_de_contexto,¿Cuántos habitantes tiene Canadá?,No tengo información suficiente en los documentos proporcionados.
fuera_de_contexto,¿Cuál es el precio del bitcoin hoy?,No tengo información suficiente en los documentos proporcionados.
fuera_de_contexto,"¿Quién escribió ""Cien años de soledad""?",No tengo información suficiente en los documentos proporcionados.
fuera_de_contexto,¿Cómo se cocina una paella?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Dónde está el aula magna?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Cuándo empiezan las clases del primer semestre?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Cómo se solicita una beca?,"Para solicitar una beca, los estudiantes deben enviar una solicitud por correo electrónico a las Secretarías de los Centros correspondientes en el plazo establecido. Deben adjuntar la documentación requerida, que incluye certificación académica, programa de asignaturas aprobadas, identificación (DNI, NIE o pasaporte), y resguardo de haber solicitado plaza. Una vez enviada la solicitud, el centro enviará una carta de pago que debe ser abonada, y el resguardo del abono debe ser remitido al centro a la mayor brevedad."
respuesta_directa,¿Se puede aparcar en el campus?,No tengo información suficiente en los documentos proporcionados.
respuesta_directa,¿Qué documentos se necesitan para la matrícula?,"Se necesitan los siguientes documentos para la matrícula:

1. Certificación académica oficial de los estudios realizados, con calificaciones y nota media.
2. Programa de las asignaturas aprobadas, sellado y diligenciado por el centro.
3. Pasaporte o DNI/NIE (los estudiantes extranjeros pueden presentar certificación de los Servicios Consulares).
4. Resguardo de haber solicitado plaza.
5. 2 fotos.
6. Fotocopia del pasaporte o N.I.E. (no es necesario si se ha realizado automatrícula con DNI o NIE).
7. Resolución de la Subdirección General de Títulos, Convalidaciones y Homologaciones.
8. Documentación que acredite exenciones, si aplica.
9. Orden de domiciliación bancaria, si se elige esa modalidad de pago."
