tipo,pregunta,respuesta,fuente
respuesta_directa,¿Cuántos credtios europes pueden reconoseerse por partisipar en actividades universitarias?,Se pueden reconocer hasta un máximo de 6 créditos europeos por participar en actividades universitarias.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Qué tipo de actvidades se incluyn en el catalgo de actividades acreditables?,"Las actividades que se incluyen en el catálogo de actividades acreditables son actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cual es el proedimiento para q una activdad sea aceptada en el Catálog General?,"El procedimiento para que una actividad sea aceptada en el Catálogo General de Actividades Universitarias Acreditables es el siguiente:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a todas las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, el Vicerrector elevará la propuesta junto con las objeciones y sugerencias a la CRTC para que tome un acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizarán los trámites necesarios para llevar a cabo dicho acuerdo.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Q artículos normativos reconocen las actiidades culturales y deportivaz?,"El procedimiento para que una actividad sea aceptada en el Catálogo General de Actividades Universitarias Acreditables incluye los siguientes pasos:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, se eleva la propuesta junto con las objeciones y sugerencias a la CRTC para su acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizan los trámites necesarios para llevar a cabo dicho acuerdo.

Los artículos normativos que reconocen las actividades culturales y deportivas son el Artículo 13, que trata sobre el reconocimiento de créditos por la participación en actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cual es el max nmero de credts por ser representante estudiantil?,El número máximo de créditos europeos que podrán ser reconocidos a un estudiante en un curso académico por actividades de representación estudiantil no podrá ser superior a 3.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cúal es el prmer dia lectibo del curso 2024-2025 en la upm?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS27759.pdf
respuesta_directa,Que dias festibos hay en deciembr 2023 segun el calendrio?,"Los días festivos en diciembre de 2023 son: 

- 6 de diciembre (Miércoles) - Día de la Constitución
- 8 de diciembre (Viernes) - La Inmaculada Concepción
- 25 de diciembre (Lunes) - Natividad del Señor.",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13378.pdf
respuesta_directa,En qe fechas cae la convkatoria ordnaria de eneros?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS15359.pdf
respuesta_directa,Cuándo comienz el 2o semestre del 2025-26?,El segundo semestre del 2025-26 comienza el lunes 31 de enero.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Q día se da el ezamen de nivelasion de inglés en 2024?,El examen de nivelación de lengua inglesa se da el 9 de mayo de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24032.pdf
