tipo,pregunta,respuesta,fuente
ActividadesAcreditablesEstudiosGrado,¿Cuántos créditos europeos pueden reconocerse por participar en actividades universitarias acreditables?,Se pueden reconocer hasta un máximo de 6 créditos europeos por participar en actividades universitarias acreditables.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué tipo de actividades se incluyen en el Catálogo General de Actividades Universitarias Acreditables?,"Se incluyen actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación en el Catálogo General de Actividades Universitarias Acreditables.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Cuál es el procedimiento para que una actividad sea incluida en el Catálogo General de Actividades Acreditables?,"El procedimiento para que una actividad sea incluida en el Catálogo General de Actividades Universitarias Acreditables es el siguiente:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a todas las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, el Vicerrector elevará la propuesta junto con las objeciones y sugerencias a la Comisión de Reconocimiento y Transferencia de Créditos (CRTC) para que tome un acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizarán los trámites necesarios para llevar a cabo dicho acuerdo.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué artículos de la normativa regulan el reconocimiento de actividades culturales y deportivas?,Los artículos que regulan el reconocimiento de actividades culturales y deportivas son el Artículo 13 y el Artículo 17.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Cuál es el número máximo de créditos que pueden reconocerse por actividades de representación estudiantil?,El número máximo de créditos que pueden reconocerse por actividades de representación estudiantil es 3.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué criterios se usan para determinar si una actividad es reconocible con créditos ECTS?,"Los criterios para determinar si una actividad es reconocible con créditos ECTS incluyen: 

1. La duración de la actividad, que debe ser igual o inferior a un año, permitiendo un máximo de 3 ECTS por actividad.
2. Las actividades fácilmente baremables, como la representación estudiantil, deben tener un procedimiento de acreditación y un sistema de verificación definido.
3. Las actividades no fácilmente baremables deben seguir un protocolo que incluya la designación de un responsable, la presentación de un programa de actividades y la entrega de una memoria evaluada al finalizar.
4. La aprobación de la Comisión de Ordenación Académica o su equivalente para actividades con un procedimiento de acreditación previamente definido.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Cuántos créditos pueden obtenerse como delegado de titulación según la normativa?,Un delegado de titulación puede obtener 1 crédito europeo según la normativa.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué se requiere para solicitar el reconocimiento de créditos por asistencia a sesiones de órganos colegiados?,"Se requiere un certificado del Secretario del Órgano de Gobierno Colegiado o de la Comisión o Grupo de Trabajo correspondiente, en el que se hagan constar las sesiones a las que se ha asistido durante el semestre en el que se solicita el reconocimiento, así como el número total de sesiones que ha habido en dicho órgano colegiado.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué organismo aprueba el Catálogo General de Actividades Universitarias Acreditables?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
ActividadesAcreditablesEstudiosGrado,¿Qué normativa regula el reconocimiento y transferencia de créditos en la UPM desde 2013?,"La normativa que regula el reconocimiento y transferencia de créditos en la UPM desde 2013 es la ""Normativa de reconocimiento y transferencia de créditos de la Universidad Politécnica de Madrid"", aprobada en la reunión del Consejo de Gobierno de fecha 31 de enero de 2013.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
CalendarioAcademico,¿Cuál es el primer día lectivo del curso académico 2024-2025 en la UPM?,El primer día lectivo del curso académico 2024-2025 en la UPM es el 3 de septiembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS27759.pdf
CalendarioAcademico,¿Qué días festivos hay en diciembre de 2023 según el calendario académico?,"Los días festivos en diciembre de 2023 son: 

- 6 de diciembre (Miércoles) - Día de la Constitución
- 8 de diciembre (Viernes) - La Inmaculada Concepción
- 25 de diciembre (Lunes) - Natividad del Señor",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13378.pdf
CalendarioAcademico,¿En qué fechas se celebra la convocatoria ordinaria de exámenes del primer semestre en enero de 2024?,La convocatoria ordinaria de exámenes del primer semestre se celebra del 8 al 29 de enero de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS15354.pdf
CalendarioAcademico,¿Qué actividades permiten ampliación restringida de matrícula y cuántos ECTS se pueden añadir como máximo?,"Se permite la ampliación restringida de matrícula para estudios oficiales con admisión en el segundo semestre, asignaturas con docencia duplicada (si el estudiante no las ha superado en el primer semestre), TFG, TFM, prácticas académicas externas curriculares y EPAC. Se pueden añadir como máximo 12 ECTS.",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\11_09_23_Calendario_Escolar_2023-24_Agenda.pdf
CalendarioAcademico,¿Cuándo comienza el segundo semestre del curso 2025-2026?,El segundo semestre del curso 2025-2026 comienza el lunes 31 de enero.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
CalendarioAcademico,¿Qué días festivos se recogen durante el mes de mayo en el calendario académico 2025?,"Los días festivos en mayo de 2025 son: 

- 01 de mayo (Día del Trabajo)
- 02 de mayo (Fiesta de la Comunidad de Madrid)
- 15 de mayo (San Isidro Labrador)",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13372.pdf
CalendarioAcademico,¿En qué fechas puede un estudiante de máster universitario formalizar su matrícula en septiembre de 2024?,Un estudiante de máster universitario puede formalizar su matrícula en septiembre de 2024 del 17 de julio al 2 de agosto y del 4 al 9 de septiembre.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13372.pdf
CalendarioAcademico,¿Cuándo tienen lugar las vacaciones de Semana Santa en el curso 2023-2024?,Las vacaciones de Semana Santa en el curso 2023-2024 comienzan el 23 de marzo y finalizan el 2 de abril.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13379.pdf
CalendarioAcademico,¿Qué día se celebra el examen de nivelación de lengua inglesa en diciembre de 2024?,El examen de nivelación de lengua inglesa se celebra el 5 de diciembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24032.pdf
CalendarioAcademico,¿Cuál es la fecha límite de cierre de actas para la convocatoria extraordinaria del curso 2024-2025?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\11_09_23_Calendario_Escolar_2023-24_Agenda.pdf
cambios-titulacion,¿Qué requisitos debo cumplir para solicitar un reingreso en la UPM si cursé parcialmente una diplomatura?,"Para solicitar un reingreso en la UPM si cursaste parcialmente una diplomatura, debes cumplir con los siguientes requisitos:

1. Tener aprobado, al menos, el primer curso completo de los estudios que comenzaste.
2. Presentar una instancia en el Registro de la Universidad solicitando el reingreso. 

Además, deberás seguir el protocolo establecido para el reconocimiento de créditos correspondiente.",C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\aviso_plazo_reingreso_estudiantes-22-23.pdf
cambios-titulacion,¿Durante qué fechas se puede solicitar el reingreso en la UPM según el protocolo de 2022?,El plazo para solicitar el reingreso será todo el mes de mayo.,C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\aviso_plazo_reingreso_estudiantes-22-23.pdf
cambios-titulacion,¿Qué consecuencias económicas tiene el reingreso o cambio de titulación en la ETSISI?,Se cobrará el reconocimiento de las asignaturas superadas. Las asignaturas pendientes se pagarán como nuevas. Se pagará el traslado de expediente.,C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\cambios-titulacion-22-23-4.pdf
cambios-titulacion,¿Qué diferencia hay entre un cambio de plan dentro de la misma titulación y un traslado entre titulaciones diferentes?,"Un cambio de plan dentro de la misma titulación se solicita a través del enlace del CIC del 1 al 31 de mayo y no tiene límite de plazas, además no se cobra el reconocimiento de asignaturas superadas. En cambio, un traslado entre titulaciones diferentes se realiza en el Rectorado, tiene un periodo de solicitud del 17 de mayo al 17 de junio, y requiere consultar el número de plazas disponibles, además de tener una nota media de la carrera y 30 créditos superados. En este último caso, se cobrará el reconocimiento de las asignaturas superadas.",C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\cambios-titulacion-22-23-4.pdf
cambios-titulacion,¿Qué información debo incluir en la solicitud online para un reingreso en la UPM?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS18453.pdf
cambios-titulacion,¿Puedo solicitar simultáneamente un reingreso y un cambio de titulación?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\cambios-titulacion-22-23-4.pdf
