tipo,pregunta,respuesta,fuente
respuesta_directa,¿Dónde está la secretaría?,"La secretaría de alumnos está situada en la planta baja del Bloque VIII, también conocido como Edificio Prisma.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuándo empiezan las clases del primer semestre?,Las clases del primer semestre comienzan el lunes 6 de septiembre.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Qué documentos se necesitan para la matrícula?,"Se necesitan los siguientes documentos para la matrícula:

1. Certificación académica oficial de los estudios realizados, con calificaciones y nota media aprobatoria.
2. Programa de las asignaturas aprobadas, sellado y diligenciado por el centro donde se impartió.
3. Pasaporte, DNI/NIE (o certificación de los Servicios Consulares para estudiantes extranjeros).
4. Resguardo de haber solicitado plaza.
5. Documentación que acredite las exenciones de pago, si corresponde.
6. Orden de domiciliación bancaria (SEPA), si es la primera vez que se domicilia el pago o se cambian los datos bancarios.",C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24031.pdf
respuesta_directa,¿Dónde se encuentra la biblioteca universitaria?,La biblioteca universitaria se encuentra en el Campus Sur de la UPM.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿A qué hora abre el comedor universitario?,El comedor universitario abre de lunes a viernes de 13:00 a 16:00 horas.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuáles son las asignaturas del segundo cuatrimestre?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Dónde se solicita una beca?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS25790.pdf
respuesta_directa,¿Cómo se tramita un cambio de titulación?,"Para tramitar un cambio de titulación, se debe solicitar a través del Rectorado, utilizando la vía web, en el periodo del 17 de mayo al 17 de junio. Es necesario consultar el número de plazas disponibles y cumplir con el requisito de tener una nota media de la carrera y al menos 30 créditos superados de materia básica. Se cobrará el reconocimiento de las asignaturas superadas y las asignaturas pendientes se pagarán como nuevas. Además, se pagará el traslado de expediente.",C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\cambios-titulacion-22-23-4.pdf
respuesta_directa,¿Se puede aparcar en el campus?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuándo se publica el calendario de exámenes?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\seguro-escolar\examenes_comunes_primer_semestre.pdf
respuesta_directa,¿Donde está la Universidad?,"La Universidad Politécnica de Madrid está situada en Paseo Juan XXIII, 11 – 28040 Madrid.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Donde esta la secretaría?,"La secretaría de alumnos está situada en la planta baja del Bloque VIII, también conocido como Edificio Prisma.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
ambigua,¿Dónde es?,"La secretaría de alumnos está situada en la planta baja del Bloque VIII, también conocido como Edificio Prisma.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
ambigua,¿Qué pasa al final?,"La secretaría de alumnos está situada en la planta baja del Bloque VIII, también conocido como Edificio Prisma. Al final, el horario de atención de la secretaría cambia, siendo el jueves 5 de junio de 9:00 a 12:00 horas y el viernes 6 de junio de 8:30 a 10:45 horas.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
ambigua,¿Es obligatorio?,"La secretaría de alumnos está situada en la planta baja del Bloque VIII, también conocido como Edificio Prisma. No tengo información suficiente en los documentos proporcionados.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
ambigua,¿A qué hora?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Cuándo se hace?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
fuera_de_contexto,¿Cuál es el precio del Bitcoin?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién ganó Eurovisión 2023?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién escribió “Cien años de soledad”?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Cuántos habitantes tiene Canadá?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién inventó el fútbol?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
encadenada,¿Dónde se hace la matrícula?,La matrícula se realiza a través de la página web de automatrícula.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
encadenada,¿Y qué documentos necesito?,"La matrícula se realiza a través de la página web de automatrícula. Los documentos necesarios incluyen la carta de pago generada por la aplicación de automatrícula, que debe ser abonada y entregada en la Secretaría de Alumnos, así como la documentación que acredite las exenciones de pago si corresponde. Además, se requiere una orden de domiciliación bancaria (SEPA) si es la primera vez que se domicilia el pago o si se cambian los datos bancarios.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
encadenada,¿Cuándo abre el plazo?,La matrícula se realiza a través de la página web de automatrícula. El plazo para el período ordinario de matrícula abre del 17 de julio al 2 de agosto de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
