tipo,pregunta,respuesta,fuente
respuesta_directa,¿Cuántos credtios europes pueden reconoseerse por partisipar en actividades universitarias?,"Se pueden reconocer hasta un máximo de 6 créditos europeos por participar en actividades universitarias, de acuerdo a lo previsto en el artículo 12 del R.D. 1393/2007.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Qué tipo de actvidades se incluyn en el catalgo de actividades acreditables?,"Se incluyen actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación en el catálogo de actividades acreditables.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cual es el proedimiento para q una activdad sea aceptada en el Catálog General?,"El procedimiento para que una actividad sea aceptada en el Catálogo General de Actividades Universitarias Acreditables es el siguiente:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a todas las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, el Vicerrector elevará la propuesta junto con las objeciones y sugerencias a la Comisión de Reconocimiento y Transferencia de Créditos (CRTC) para que tome un acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizarán los trámites necesarios para llevar a cabo dicho acuerdo.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Q artículos normativos reconocen las actiidades culturales y deportivaz?,"El procedimiento para que una actividad sea aceptada en el Catálogo General de Actividades Universitarias Acreditables incluye los siguientes pasos:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a todas las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, el Vicerrector elevará la propuesta junto con las objeciones y sugerencias a la CRTC para que tome un acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizarán los trámites necesarios para llevar a cabo dicho acuerdo.

Los artículos normativos que reconocen las actividades culturales y deportivas son el Artículo 13, que trata sobre los créditos por participación en actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación, y el Artículo 14, que se refiere al Catálogo General de Actividades Universitarias Acreditables.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cual es el max nmero de credts por ser representante estudiantil?,El número máximo de créditos europeos que podrán ser reconocidos a un estudiante en un curso académico por actividades de representación estudiantil no podrá ser superior a 3.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,Cúal es el prmer dia lectibo del curso 2024-2025 en la upm?,El primer día lectivo del curso 2024-2025 en la UPM es el 3 de septiembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS27759.pdf
respuesta_directa,Que dias festibos hay en deciembr 2023 segun el calendrio?,"Los días festivos en diciembre de 2023 son:

- 6 de diciembre (Miércoles) - Día de la Constitución
- 8 de diciembre (Viernes) - La Inmaculada Concepción
- 25 de diciembre (Lunes) - Natividad del Señor",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13378.pdf
respuesta_directa,En qe fechas cae la convkatoria ordnaria de eneros?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS15359.pdf
respuesta_directa,Cuándo comienz el 2o semestre del 2025-26?,El segundo semestre del 2025-26 comienza el lunes 31 de enero.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Q día se da el ezamen de nivelasion de inglés en 2024?,El examen de nivelación de lengua inglesa se da el 5 de diciembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24032.pdf
respuesta_directa,Cuales son las fechaz para la matriculacion ordnaria 2024?,El periodo de matrícula ordinaria para el curso académico 2024-2025 es del 12 al 16 de julio de 2024 para estudiantes de nuevo ingreso y del 17 de julio al 2 de agosto de 2024 para todos los estudiantes matriculados en cursos anteriores.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS15354.pdf
respuesta_directa,Como puedo camviar asignaturas en mi matrcula?,"Puedes cambiar asignaturas en tu matrícula solicitando la cancelación de asignaturas sueltas dentro de los plazos establecidos. Si realizas la solicitud dentro de los 5 días hábiles siguientes a la fecha de matriculación, se te devolverá el 100% del importe. Si la solicitud se presenta a partir del sexto día hábil hasta el 21 de septiembre de 2024, se devolverá el 50%. Fuera de estos plazos, solo se podrá modificar la matrícula de forma excepcional y con justificación documental. Además, hay un período de desmatriculación de asignaturas del segundo semestre del 29 de enero al 4 de febrero de 2025, donde puedes desmatricular hasta 12 ECTS con devolución del 100% del precio abonado.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
respuesta_directa,Q pasa si no pago la matriula en tiempo?,"Si no se abona la matrícula en los plazos fijados, se iniciará el procedimiento de anulación de matrícula por impago, lo que conlleva la pérdida de derechos a seguir cursando los estudios, presentarse a exámenes, realizar prácticas y obtener calificaciones. Además, se generará una deuda a favor de la UPM por la cantidad pendiente.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
respuesta_directa,K documentos hay q entregar si soy alumn nuevo?,"Si no se abona la matrícula en los plazos fijados, se iniciará el procedimiento de anulación de matrícula por impago, lo que conlleva la pérdida de derechos a cursar estudios, presentarse a exámenes y obtener calificaciones. 

Como estudiante de nuevo ingreso en estudios de Grado, debes entregar hasta el 30 de septiembre de 2024: 
- Copia del Pasaporte (si no has realizado automatrícula con DNI o NIE).
- Resguardo de haber abonado los derechos del traslado de expediente, si corresponde.
- Documentación que acredite las exenciones si has aplicado alguna.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
respuesta_directa,Q formas de pago ay en la UPM?,"Las formas de pago en la UPM son: tarjeta de crédito/débito online, Bizum, domiciliación bancaria y recibo bancario.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17136.pdf
respuesta_directa,Q servicios ofrece la tarjeta universitaria vitual?,La Tarjeta Universitaria Virtual ofrece los siguientes servicios: identificación universitaria válida durante la permanencia en la universidad y préstamo de libros en las bibliotecas universitarias mediante el código de barras que dispone.,C:/Users/David/Desktop/Chatbot/Datos\CarneUniversitario\CarneUniversitario_texto.txt
respuesta_directa,Donde se encuentr la Secretaria de Alumns?,La Secretaría de Alumnos se encuentra en la planta baja del Bloque VIII.,C:/Users/David/Desktop/Chatbot/Datos\secretaria-alumnos\secretaria-alumnos_texto.txt
respuesta_directa,Ke normativa rige la pernanencia en la UPM?,"La normativa que rige la permanencia en la UPM es la ""Normativa de regulación de la permanencia de los estudiantes de la UPM"".",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Como se puede acceder al repositrio de software?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Q pasos hay que seguir para reconoser créditos si estudie fuera?,"Para reconocer créditos si estudiaste fuera, debes seguir estos pasos:

1. Asegúrate de estar admitido y matriculado en la Universidad Politécnica de Madrid.
2. Envía la solicitud de reconocimiento de créditos por correo electrónico a la Escuela/Facultad en la que has sido admitido, dentro del plazo del 10 al 30 de septiembre de 2024.
3. Incluye en la solicitud tus datos personales y académicos, así como la titulación de destino.
4. Adjunta la documentación necesaria para el estudio del reconocimiento de créditos, incluyendo el certificado académico oficial actualizado.
5. Si ya tienes una resolución de reconocimiento de al menos 30 créditos de materia obligada, adjúntala a la solicitud.
6. Si no tienes los créditos superados a la fecha de finalización del plazo, presenta una declaración responsable de las asignaturas a las que te has presentado en la convocatoria ordinaria de junio 2024.

Recuerda que las solicitudes presentadas fuera del plazo no serán admitidas.",C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS13710.pdf
